ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D41G,ENGLISHSYSSUM1.TXT,0.25253,0.2809,0.26596,1
ROUGE-1,D53I,ENGLISHSYSSUM1.TXT,0.31356,0.24026,0.27206,1
ROUGE-1,D31F,ENGLISHSYSSUM1.TXT,0.31132,0.46479,0.37288,1
ROUGE-1,D43H,ENGLISHSYSSUM1.TXT,0.12245,0.16667,0.14118,1
ROUGE-1,D57K,ENGLISHSYSSUM1.TXT,0.22549,0.35938,0.27711,1
ROUGE-1,D45H,ENGLISHSYSSUM1.TXT,0.2,0.3,0.24,1
ROUGE-1,D59K,ENGLISHSYSSUM1.TXT,0.25472,0.1875,0.216,1
ROUGE-1,D24D,ENGLISHSYSSUM1.TXT,0.07143,0.13462,0.09333,1
ROUGE-1,D14C,ENGLISHSYSSUM1.TXT,0.2,0.23256,0.21505,1
ROUGE-1,D12B,ENGLISHSYSSUM1.TXT,0.14,0.22222,0.17178,1
ROUGE-1,D28E,ENGLISHSYSSUM1.TXT,0.20455,0.3913,0.26866,1
ROUGE-1,D04A,ENGLISHSYSSUM1.TXT,0.15238,0.22857,0.18286,1
ROUGE-1,D08B,ENGLISHSYSSUM1.TXT,0.25253,0.32051,0.28249,1
ROUGE-1,D06A,ENGLISHSYSSUM1.TXT,0.24752,0.31646,0.27778,1
ROUGE-1,D50I,ENGLISHSYSSUM1.TXT,0.23301,0.3038,0.26374,1
ROUGE-1,D54I,ENGLISHSYSSUM1.TXT,0.17925,0.23457,0.20321,1
ROUGE-1,D56K,ENGLISHSYSSUM1.TXT,0.12621,0.12745,0.12683,1
ROUGE-1,D30E,ENGLISHSYSSUM1.TXT,0.28037,0.03922,0.06881,1
ROUGE-1,D44H,ENGLISHSYSSUM1.TXT,0.15957,0.13043,0.14354,1
ROUGE-1,D32F,ENGLISHSYSSUM1.TXT,0.40196,0.21354,0.27891,1
ROUGE-1,D22D,ENGLISHSYSSUM1.TXT,0.06731,0.05932,0.06306,1
ROUGE-1,D34F,ENGLISHSYSSUM1.TXT,0.11009,0.16901,0.13333,1
ROUGE-1,D11B,ENGLISHSYSSUM1.TXT,0.14423,0.26316,0.18634,1
ROUGE-1,D37G,ENGLISHSYSSUM1.TXT,0.0885,0.2381,0.12903,1
ROUGE-1,D27E,ENGLISHSYSSUM1.TXT,0.16822,0.1978,0.18182,1
ROUGE-1,D13C,ENGLISHSYSSUM1.TXT,0.20388,0.17647,0.18919,1
ROUGE-1,D39G,ENGLISHSYSSUM1.TXT,0.24742,0.26966,0.25806,1
ROUGE-1,D15C,ENGLISHSYSSUM1.TXT,0.16505,0.1453,0.15455,1
ROUGE-1,D05A,ENGLISHSYSSUM1.TXT,0.20192,0.30435,0.24277,1
ROUGE-1,D19D,ENGLISHSYSSUM1.TXT,0.23301,0.2963,0.26087,1
,,,,,,
,,,0.198616,0.233807333,0.205373333,
