ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D114H,ENGLISHSYSSUM1.TXT,0.43541,0.52907,0.47769,1
ROUGE-1,D113H,ENGLISHSYSSUM1.TXT,0.4554,0.388,0.41901,1
ROUGE-1,D080A,ENGLISHSYSSUM1.TXT,0.37438,0.35681,0.36538,1
ROUGE-1,D108G,ENGLISHSYSSUM1.TXT,0.36816,0.38947,0.37852,1
ROUGE-1,D081A,ENGLISHSYSSUM1.TXT,0.5285,0.45536,0.48921,1
ROUGE-1,D094C,ENGLISHSYSSUM1.TXT,0.445,0.32601,0.37632,1
ROUGE-1,D082A,ENGLISHSYSSUM1.TXT,0.40758,0.40758,0.40758,1
ROUGE-1,D083A,ENGLISHSYSSUM1.TXT,0.39429,0.42073,0.40708,1
ROUGE-1,D086D,ENGLISHSYSSUM1.TXT,0.46667,0.41525,0.43946,1
ROUGE-1,D101E,ENGLISHSYSSUM1.TXT,0.47596,0.30183,0.3694,1
ROUGE-1,D116I,ENGLISHSYSSUM1.TXT,0.435,0.39545,0.41429,1
,,,,,,
,,,0.435122727,0.398687273,0.413085455,
