ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D156,ENGLISHSYSSUM1.TXT,0.18644,0.30137,0.23037,1
ROUGE-1,D200,ENGLISHSYSSUM1.TXT,0.1383,0.19697,0.1625,1
ROUGE-1,D135,ENGLISHSYSSUM1.TXT,0.15517,0.31579,0.20809,1
ROUGE-1,D132,ENGLISHSYSSUM1.TXT,0.3301,0.38636,0.35602,1
ROUGE-1,D188,ENGLISHSYSSUM1.TXT,0.25641,0.32609,0.28708,1
ROUGE-1,D199,ENGLISHSYSSUM1.TXT,0.26168,0.25926,0.26047,1
ROUGE-1,D151,ENGLISHSYSSUM1.TXT,0.23232,0.2875,0.25698,1
ROUGE-1,D193,ENGLISHSYSSUM1.TXT,0.23333,0.27723,0.25339,1
ROUGE-1,D139,ENGLISHSYSSUM1.TXT,0.29091,0.38554,0.33161,1
ROUGE-1,D136,ENGLISHSYSSUM1.TXT,0.36937,0.39806,0.38318,1
,,,,,,
,,,0.245403,0.313417,0.272969,
