ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D156,ENGLISHSYSSUM1.TXT,0.19231,0.27397,0.22599,1
ROUGE-1,D200,ENGLISHSYSSUM1.TXT,0.13542,0.19697,0.16049,1
ROUGE-1,D135,ENGLISHSYSSUM1.TXT,0.13793,0.2807,0.18497,1
ROUGE-1,D132,ENGLISHSYSSUM1.TXT,0.26667,0.31818,0.29016,1
ROUGE-1,D188,ENGLISHSYSSUM1.TXT,0.25926,0.30435,0.28,1
ROUGE-1,D199,ENGLISHSYSSUM1.TXT,0.27103,0.26852,0.26977,1
ROUGE-1,D151,ENGLISHSYSSUM1.TXT,0.22115,0.2875,0.25,1
ROUGE-1,D193,ENGLISHSYSSUM1.TXT,0.23232,0.22772,0.23,1
ROUGE-1,D139,ENGLISHSYSSUM1.TXT,0.20952,0.26506,0.23404,1
ROUGE-1,D136,ENGLISHSYSSUM1.TXT,0.34483,0.38835,0.3653,1
,,,,,,
,,,0.227044,0.281132,0.249072,
