ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,D41G,ENGLISHSYSSUM1.TXT,0.03158,0.03448,0.03297,1
ROUGE-2,D53I,ENGLISHSYSSUM1.TXT,0.07895,0.05921,0.06767,1
ROUGE-2,D31F,ENGLISHSYSSUM1.TXT,0.06,0.08696,0.07101,1
ROUGE-2,D43H,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D57K,ENGLISHSYSSUM1.TXT,0.06186,0.09677,0.07547,1
ROUGE-2,D45H,ENGLISHSYSSUM1.TXT,0.0098,0.01471,0.01176,1
ROUGE-2,D59K,ENGLISHSYSSUM1.TXT,0.01031,0.00704,0.00837,1
ROUGE-2,D24D,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D14C,ENGLISHSYSSUM1.TXT,0.01124,0.0119,0.01156,1
ROUGE-2,D12B,ENGLISHSYSSUM1.TXT,0.01087,0.01639,0.01307,1
ROUGE-2,D28E,ENGLISHSYSSUM1.TXT,0.0873,0.16418,0.11399,1
ROUGE-2,D04A,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D08B,ENGLISHSYSSUM1.TXT,0.02151,0.02632,0.02367,1
ROUGE-2,D06A,ENGLISHSYSSUM1.TXT,0.0625,0.07792,0.06936,1
ROUGE-2,D50I,ENGLISHSYSSUM1.TXT,0.03125,0.03896,0.03468,1
ROUGE-2,D54I,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D56K,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D30E,ENGLISHSYSSUM1.TXT,0.0198,0.00262,0.00463,1
ROUGE-2,D44H,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D32F,ENGLISHSYSSUM1.TXT,0.0625,0.03158,0.04196,1
ROUGE-2,D22D,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D34F,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D11B,ENGLISHSYSSUM1.TXT,0.0102,0.01818,0.01307,1
ROUGE-2,D37G,ENGLISHSYSSUM1.TXT,0.00926,0.025,0.01351,1
ROUGE-2,D27E,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D13C,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D39G,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D15C,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D05A,ENGLISHSYSSUM1.TXT,0.03093,0.04478,0.03659,1
ROUGE-2,D19D,ENGLISHSYSSUM1.TXT,0.0202,0.02532,0.02247,1
,,,,,,
,,,0.021002,0.026077333,0.022193667,
