ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D41G,ENGLISHSYSSUM1.TXT,0.14035,0.17978,0.15764,1
ROUGE-1,D53I,ENGLISHSYSSUM1.TXT,0.36275,0.24026,0.28906,1
ROUGE-1,D31F,ENGLISHSYSSUM1.TXT,0.26606,0.40845,0.32222,1
ROUGE-1,D43H,ENGLISHSYSSUM1.TXT,0.09174,0.13889,0.1105,1
ROUGE-1,D57K,ENGLISHSYSSUM1.TXT,0.2037,0.34375,0.25581,1
ROUGE-1,D45H,ENGLISHSYSSUM1.TXT,0.10784,0.15714,0.12791,1
ROUGE-1,D59K,ENGLISHSYSSUM1.TXT,0.26733,0.1875,0.22041,1
ROUGE-1,D24D,ENGLISHSYSSUM1.TXT,0.08654,0.17308,0.11538,1
ROUGE-1,D14C,ENGLISHSYSSUM1.TXT,0.05882,0.0814,0.06829,1
ROUGE-1,D12B,ENGLISHSYSSUM1.TXT,0.17476,0.28571,0.21687,1
ROUGE-1,D28E,ENGLISHSYSSUM1.TXT,0.26852,0.42029,0.32768,1
ROUGE-1,D04A,ENGLISHSYSSUM1.TXT,0.18095,0.27143,0.21714,1
ROUGE-1,D08B,ENGLISHSYSSUM1.TXT,0.24272,0.32051,0.27624,1
ROUGE-1,D06A,ENGLISHSYSSUM1.TXT,0.18627,0.24051,0.20994,1
ROUGE-1,D50I,ENGLISHSYSSUM1.TXT,0.24038,0.31646,0.27322,1
ROUGE-1,D54I,ENGLISHSYSSUM1.TXT,0.20192,0.25926,0.22703,1
ROUGE-1,D56K,ENGLISHSYSSUM1.TXT,0.20588,0.20588,0.20588,1
ROUGE-1,D30E,ENGLISHSYSSUM1.TXT,0.26168,0.0366,0.06422,1
ROUGE-1,D44H,ENGLISHSYSSUM1.TXT,0.18812,0.16522,0.17593,1
ROUGE-1,D32F,ENGLISHSYSSUM1.TXT,0.36634,0.19271,0.25256,1
ROUGE-1,D22D,ENGLISHSYSSUM1.TXT,0.17925,0.16102,0.16964,1
ROUGE-1,D34F,ENGLISHSYSSUM1.TXT,0.19417,0.28169,0.22989,1
ROUGE-1,D11B,ENGLISHSYSSUM1.TXT,0.12621,0.22807,0.1625,1
ROUGE-1,D37G,ENGLISHSYSSUM1.TXT,0.07143,0.16667,0.1,1
ROUGE-1,D27E,ENGLISHSYSSUM1.TXT,0.15385,0.17582,0.1641,1
ROUGE-1,D13C,ENGLISHSYSSUM1.TXT,0.18367,0.15126,0.1659,1
ROUGE-1,D39G,ENGLISHSYSSUM1.TXT,0.22,0.24719,0.2328,1
ROUGE-1,D15C,ENGLISHSYSSUM1.TXT,0.19266,0.17949,0.18584,1
ROUGE-1,D05A,ENGLISHSYSSUM1.TXT,0.19626,0.30435,0.23864,1
ROUGE-1,D19D,ENGLISHSYSSUM1.TXT,0.18519,0.24691,0.21164,1
,,,,,,
,,,0.193512,0.225576667,0.199162667,
