ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,D114H,ENGLISHSYSSUM1.TXT,0.09474,0.10843,0.10112,1
ROUGE-2,D113H,ENGLISHSYSSUM1.TXT,0.19118,0.15984,0.17411,1
ROUGE-2,D080A,ENGLISHSYSSUM1.TXT,0.22222,0.21256,0.21728,1
ROUGE-2,D108G,ENGLISHSYSSUM1.TXT,0.18719,0.20652,0.19638,1
ROUGE-2,D081A,ENGLISHSYSSUM1.TXT,0.25373,0.23394,0.24344,1
ROUGE-2,D094C,ENGLISHSYSSUM1.TXT,0.23684,0.16854,0.19694,1
ROUGE-2,D082A,ENGLISHSYSSUM1.TXT,0.06667,0.06341,0.065,1
ROUGE-2,D083A,ENGLISHSYSSUM1.TXT,0.16256,0.20886,0.18283,1
ROUGE-2,D086D,ENGLISHSYSSUM1.TXT,0.09272,0.06087,0.07349,1
ROUGE-2,D101E,ENGLISHSYSSUM1.TXT,0.09659,0.0528,0.06827,1
ROUGE-2,D116I,ENGLISHSYSSUM1.TXT,0.23267,0.21963,0.22596,1
,,,,,,
,,,0.16701,0.154127273,0.15862,
