ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,D114H,ENGLISHSYSSUM1.TXT,0.20101,0.24096,0.21918,1
ROUGE-2,D113H,ENGLISHSYSSUM1.TXT,0.20773,0.17623,0.19069,1
ROUGE-2,D080A,ENGLISHSYSSUM1.TXT,0.05128,0.04831,0.04975,1
ROUGE-2,D108G,ENGLISHSYSSUM1.TXT,0.13542,0.1413,0.1383,1
ROUGE-2,D081A,ENGLISHSYSSUM1.TXT,0.2766,0.23853,0.25616,1
ROUGE-2,D094C,ENGLISHSYSSUM1.TXT,0.09326,0.06742,0.07826,1
ROUGE-2,D082A,ENGLISHSYSSUM1.TXT,0.05911,0.05854,0.05882,1
ROUGE-2,D083A,ENGLISHSYSSUM1.TXT,0.19162,0.20253,0.19692,1
ROUGE-2,D086D,ENGLISHSYSSUM1.TXT,0.08955,0.07826,0.08353,1
ROUGE-2,D101E,ENGLISHSYSSUM1.TXT,0.11881,0.07453,0.0916,1
ROUGE-2,D116I,ENGLISHSYSSUM1.TXT,0.10363,0.09346,0.09828,1
,,,,,,
,,,0.138910909,0.129097273,0.132862727,
