ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D156,ENGLISHSYSSUM1.TXT,0.12931,0.20548,0.15873,1
ROUGE-1,D200,ENGLISHSYSSUM1.TXT,0.11321,0.18182,0.13953,1
ROUGE-1,D135,ENGLISHSYSSUM1.TXT,0.17391,0.35088,0.23256,1
ROUGE-1,D132,ENGLISHSYSSUM1.TXT,0.37864,0.44318,0.40838,1
ROUGE-1,D188,ENGLISHSYSSUM1.TXT,0.28205,0.3587,0.31579,1
ROUGE-1,D199,ENGLISHSYSSUM1.TXT,0.25893,0.26852,0.26364,1
ROUGE-1,D151,ENGLISHSYSSUM1.TXT,0.24176,0.275,0.25731,1
ROUGE-1,D193,ENGLISHSYSSUM1.TXT,0.27193,0.30693,0.28837,1
ROUGE-1,D139,ENGLISHSYSSUM1.TXT,0.26606,0.3494,0.30208,1
ROUGE-1,D136,ENGLISHSYSSUM1.TXT,0.28571,0.29126,0.28846,1
,,,,,,
,,,0.240151,0.303117,0.265485,
