ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,D156,ENGLISHSYSSUM1.TXT,0.00893,0.01408,0.01093,1
ROUGE-2,D200,ENGLISHSYSSUM1.TXT,0.01111,0.01562,0.01299,1
ROUGE-2,D135,ENGLISHSYSSUM1.TXT,0.04386,0.09091,0.05917,1
ROUGE-2,D132,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D188,ENGLISHSYSSUM1.TXT,0.09804,0.11111,0.10417,1
ROUGE-2,D199,ENGLISHSYSSUM1.TXT,0.04902,0.04717,0.04808,1
ROUGE-2,D151,ENGLISHSYSSUM1.TXT,0,0,0,1
ROUGE-2,D193,ENGLISHSYSSUM1.TXT,0.04505,0.05051,0.04762,1
ROUGE-2,D139,ENGLISHSYSSUM1.TXT,0.06364,0.08642,0.0733,1
ROUGE-2,D136,ENGLISHSYSSUM1.TXT,0.1165,0.11881,0.11765,1
,,,,,,
,,,0.043615,0.053463,0.047391,
